枠名,song_id,歌唱順,配信日,枠URL,コラボ相手様
【 歌枠 | #karaoke 】デビュー１ヵ月記念歌枠＆高評価509耐久【深影 / RK Music】#ghostreaming,S0021,6,2025-06-09,https://www.youtube.com/live/5Hb2Qpgc02U?si=KQ6poZZV_MZY26eB&t=2586,
【 歌枠 | #karaoke 】デビュー１ヵ月記念歌枠＆高評価509耐久【深影 / RK Music】#ghostreaming,S0022,7,2025-06-09,https://www.youtube.com/live/5Hb2Qpgc02U?si=KQ6poZZV_MZY26eB&t=2841,
【 歌枠 | #karaoke 】デビュー１ヵ月記念歌枠＆高評価509耐久【深影 / RK Music】#ghostreaming,S0023,8,2025-06-09,https://www.youtube.com/live/5Hb2Qpgc02U?si=KQ6poZZV_MZY26eB&t=3022,
【 歌枠 | #karaoke 】デビュー１ヵ月記念歌枠＆高評価509耐久【深影 / RK Music】#ghostreaming,S0024,9,2025-06-09,https://www.youtube.com/live/5Hb2Qpgc02U?si=KQ6poZZV_MZY26eB&t=3264,
【 歌枠 | #karaoke 】デビュー１ヵ月記念歌枠＆高評価509耐久【深影 / RK Music】#ghostreaming,S0025,10,2025-06-09,https://www.youtube.com/live/5Hb2Qpgc02U?si=KQ6poZZV_MZY26eB&t=4842,
【 歌枠 | #karaoke 】デビュー１ヵ月記念歌枠＆高評価509耐久【深影 / RK Music】#ghostreaming,S0013,11,2025-06-09,https://www.youtube.com/live/5Hb2Qpgc02U?si=KQ6poZZV_MZY26eB&t=5188,
【 歌枠 | #karaoke 】デビュー１ヵ月記念歌枠＆高評価509耐久【深影 / RK Music】#ghostreaming,S0026,12,2025-06-09,https://www.youtube.com/live/5Hb2Qpgc02U?si=KQ6poZZV_MZY26eB&t=5508,
【 歌枠 | #karaoke 】デビュー１ヵ月記念歌枠＆高評価509耐久【深影 / RK Music】#ghostreaming,S0027,13,2025-06-09,https://www.youtube.com/live/5Hb2Qpgc02U?si=KQ6poZZV_MZY26eB&t=5852,
【 歌枠 | #karaoke 】デビュー１ヵ月記念歌枠＆高評価509耐久【深影 / RK Music】#ghostreaming,S0028,14,2025-06-09,https://www.youtube.com/live/5Hb2Qpgc02U?si=KQ6poZZV_MZY26eB&t=7181,
【 歌枠 | #karaoke 】デビュー１ヵ月記念歌枠＆高評価509耐久【深影 / RK Music】#ghostreaming,S0029,15,2025-06-09,https://www.youtube.com/live/5Hb2Qpgc02U?si=KQ6poZZV_MZY26eB&t=7430,
【 歌枠 | #karaoke 】デビュー１ヵ月記念歌枠＆高評価509耐久【深影 / RK Music】#ghostreaming,S0030,16,2025-06-09,https://www.youtube.com/live/5Hb2Qpgc02U?si=KQ6poZZV_MZY26eB&t=8987,
【 歌枠 | #karaoke 】デビュー１ヵ月記念歌枠＆高評価509耐久【深影 / RK Music】#ghostreaming,S0012,17,2025-06-09,https://www.youtube.com/live/5Hb2Qpgc02U?si=KQ6poZZV_MZY26eB&t=9125,
【 歌枠 | #karaoke 】デビュー１ヵ月記念歌枠＆高評価509耐久【深影 / RK Music】#ghostreaming,S0031,18,2025-06-09,https://www.youtube.com/live/5Hb2Qpgc02U?si=KQ6poZZV_MZY26eB&t=10349,
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0032,1,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=166,
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0033,2,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=495,
